epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,349.57,0.72787,0.97679,0.99821,0.12818,0.000324786,0.000324786,0.000324786
2,708.425,0.09723,0.97679,1,0.07379,0.000651604,0.000651604,0.000651604
3,1174.02,0.07723,0.97857,1,0.07892,0.000971822,0.000971822,0.000971822
4,1516.65,0.06594,0.97857,1,0.15164,0.0009703,0.0009703,0.0009703
5,1852.24,0.04749,0.9875,1,0.04799,0.0009604,0.0009604,0.0009604
6,2187.71,0.04648,0.98393,1,0.06407,0.0009505,0.0009505,0.0009505
